City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,sanctuary point,-35.1114,150.629,16.1,74,0,2.73,AU,1691059914
232,kandava,57.0409,22.7747,15.93,94,100,4.65,LV,1691059915
233,panjab,34.388,67.0233,26.32,12,0,3.04,AF,1691059916
234,la'ie,21.6477,-157.9253,26.98,75,16,6.69,US,1691059917
235,fisterra,42.9049,-9.2629,21.53,68,99,7.4,ES,1691059807
236,ghat,24.9647,10.1728,39.95,11,0,5.82,LY,1691059919
237,clodomira,-27.5744,-64.1311,16.85,48,2,6.47,AR,1691059920
238,codrington,-38.2667,141.9667,16.5,46,65,9.67,AU,1691059921
239,hammerfest,70.6634,23.6821,23.25,56,40,4.63,NO,1691059922
240,katiola,8.1333,-5.1,24.35,87,100,3.23,CI,1691059924
241,fort stockton,30.894,-102.8793,27.03,46,20,5.14,US,1691059925
242,hithadhoo,-0.6,73.0833,28.0,71,66,2.78,MV,1691059926
243,quelimane,-17.8786,36.8883,23.97,60,75,4.12,MZ,1691059928
244,puerto ayacucho,5.6639,-67.6236,22.96,94,99,1.63,VE,1691059929
245,iskateley,67.6803,53.1512,27.74,44,1,2.95,RU,1691059930
246,piti village,13.4626,144.6933,28.03,90,0,0.0,GU,1691059931
247,redcliff,-19.0333,29.7833,18.01,37,38,3.81,ZW,1691059932
248,barano d'ischia,40.718,13.9309,29.75,83,0,1.34,IT,1691059934
249,motygino,58.1831,94.7592,25.41,57,57,1.82,RU,1691059935
250,ouadda,8.0777,22.4007,26.53,78,68,2.82,CF,1691059936
251,shalqar,47.8333,59.6,33.95,19,8,5.79,KZ,1691059937
252,kingston,17.997,-76.7936,27.53,86,20,4.12,JM,1691059670
253,mariental,-24.6333,17.9667,25.05,25,0,10.24,NA,1691059939
254,isafjordur,66.0755,-23.124,10.02,81,100,0.0,IS,1691059940
255,argo,37.6333,22.7333,30.44,27,0,3.32,GR,1691059941
256,kabompo,-13.5927,24.2008,27.68,24,0,3.24,ZM,1691059942
257,hirara,24.8,125.2833,28.15,94,75,16.98,JP,1691059944
258,margate,51.3813,1.3862,20.39,70,72,4.02,GB,1691059945
259,makarov,48.6333,142.8,13.81,93,100,1.41,RU,1691059946
260,karratha,-20.7377,116.8463,23.15,70,30,2.46,AU,1691059947
261,narasannapeta,18.4167,84.05,31.96,62,77,5.77,IN,1691059948
262,hilo,19.7297,-155.09,24.6,88,0,3.6,US,1691059777
263,umm kaddadah,13.6017,26.6876,33.75,38,69,4.72,SD,1691059950
264,plettenberg bay,-34.0527,23.3716,23.43,34,61,5.83,ZA,1691059951
265,north ward,-19.2454,146.8075,20.95,73,40,3.6,AU,1691059952
